customerid,custemail,addrline,city,state,country,zip,custphone,firstname,lastname
300131,mary.vxnzgmqnd@mxfoo.com,,,,,,,mary,vxnzgmqnd
300132,Julie.Mflzs@mxfoo.com,,,,,,,Julie,Mflzs
300133,jeffrey.cqrdzll@mxfoo.com,,,,,,,jeffrey,cqrdzll
300134,JUmstatter@mxfoo.com,,,,,,,JUmstatter,
300135,monica.mxrtfnzz@mxfoo.com,,,,,,,monica,mxrtfnzz
300136,Ann.Jznnfngs@mxfoo.com,,,,,,,Ann,Jznnfngs
300137,Kimi.Cqkpz@mxfoo.com,,,,,,,Kimi,Cqkpz
300138,Wesley.Przwftt@mxfoo.com,,,,,,,Wesley,Przwftt
300139,dave.mcdzvftt@mxfoo.com,,,,,,,dave,mcdzvftt
300140,Jerelyn.Krkljxc@mxfoo.com,,,,,,,Jerelyn,Krkljxc
300141,John.Mxnxlfgqd@mxfoo.com,,,,,,,John,Mxnxlfgqd
300142,berquis.tqrrzs@mxfoo.com,,,,,,,berquis,tqrrzs
300143,Faith.Bxrnzs@mxfoo.com,,,,,,,Faith,Bxrnzs
300144,donald.mcbkrnzy@mxfoo.com,,,,,,,donald,mcbkrnzy
300145,alexander.dqmfngkzz@mxfoo.com,,,,,,,alexander,dqmfngkzz
300146,eleanor.mxrshxll@mxfoo.com,,,,,,,eleanor,mxrshxll
300147,christopher.hqdgz@mxfoo.com,,,,,,,christopher,hqdgz
300148,steve.nfkqlqvskf@mxfoo.com,,,,,,,steve,nfkqlqvskf
300149,karianne.swfft@mxfoo.com,,,,,,,karianne,swfft
300150,william.mccqwzn@mxfoo.com,,,,,,,william,mccqwzn
300151,divya.pzrfxfxh@mxfoo.com,,,,,,,divya,pzrfxfxh
300152,bill.wxltzrs@mxfoo.com,,,,,,,bill,wxltzrs
300153,Sarah.Hqkrfgxn@mxfoo.com,,,,,,,Sarah,Hqkrfgxn
300154,pilar.gxrcfxbrqwn@mxfoo.com,,,,,,,pilar,gxrcfxbrqwn
300155,sara.gxrzx@mxfoo.com,,,,,,,sara,gxrzx
300156,Sally.Yk@mxfoo.com,,,,,,,Sally,Yk
300157,Brianna.Nzkmxnn@mxfoo.com,,,,,,,Brianna,Nzkmxnn
300158,ryan.bxflzy@mxfoo.com,,,,,,,ryan,bxflzy
300159,kathy.nzlsqn@mxfoo.com,,,,,,,kathy,nzlsqn
300160,maria.jqhnsqn@mxfoo.com,,,,,,,maria,jqhnsqn
300161,jenny.grzznlzxf@mxfoo.com,,,,,,,jenny,grzznlzxf
300162,keith.hkbzrt@mxfoo.com,,,,,,,keith,hkbzrt
300163,bill.mccqrmfck@mxfoo.com,,,,,,,bill,mccqrmfck
300164,rae.grfzcq@mxfoo.com,,,,,,,rae,grfzcq
300165,kathleen.kqch@mxfoo.com,,,,,,,kathleen,kqch
300166,lindsay.mxckfnnzy@mxfoo.com,,,,,,,lindsay,mxckfnnzy
300167,amanda.wqqd@mxfoo.com,,,,,,,amanda,wqqd
300168,tammy.dqmfnfck@mxfoo.com,,,,,,,tammy,dqmfnfck
300169,jennifer.bxrnztt@mxfoo.com,,,,,,,jennifer,bxrnztt
300170,george.kqnfg@mxfoo.com,,,,,,,george,kqnfg
300171,alia.xlmzfdx@mxfoo.com,,,,,,,alia,xlmzfdx
300172,brent.hxrtszll@mxfoo.com,,,,,,,brent,hxrtszll
300173,meghan.brxnn@mxfoo.com,,,,,,,meghan,brxnn
300174,patricia.zvxns@mxfoo.com,,,,,,,patricia,zvxns
300175,vincent.xlbxnzsz@mxfoo.com,,,,,,,vincent,xlbxnzsz
300176,tiffany.gqnzxlzz@mxfoo.com,,,,,,,tiffany,gqnzxlzz
300177,sarah.rzhmxn@mxfoo.com,,,,,,,sarah,rzhmxn
300178,indhuja.mkrxlf@mxfoo.com,,,,,,,indhuja,mkrxlf
300179,kristen.spzcfxlz@mxfoo.com,,,,,,,kristen,spzcfxlz
300180,rebecca.zvxns@mxfoo.com,,,,,,,rebecca,zvxns
300181,deborah.brqwn@mxfoo.com,,,,,,,deborah,brqwn
300182,lisa.glqvzr@mxfoo.com,,,,,,,lisa,glqvzr
300183,Shivangi.Kklshrzsthx@mxfoo.com,,,,,,,Shivangi,Kklshrzsthx
300184,steven.cqnz@mxfoo.com,,,,,,,steven,cqnz
300185,carol.zfchmxnnbkfz@mxfoo.com,,,,,,,carol,zfchmxnnbkfz
300186,carol.whftz@mxfoo.com,,,,,,,carol,whftz
300187,SherEunice.Drxkz@mxfoo.com,,,,,,,SherEunice,Drxkz
300188,jade.mxnn@mxfoo.com,,,,,,,jade,mxnn
300189,roberta.rxfnvfllz@mxfoo.com,,,,,,,roberta,rxfnvfllz
300190,Monique.Escqbzdq@mxfoo.com,,,,,,,Monique,Escqbzdq
300191,jennifer.schkbxch@mxfoo.com,,,,,,,jennifer,schkbxch
300192,nancy.cqndqn@mxfoo.com,,,,,,,nancy,cqndqn
300193,niamh.fxgxn@mxfoo.com,,,,,,,niamh,fxgxn
300194,manuel.gkzmxnzstrqnzx@mxfoo.com,,,,,,,manuel,gkzmxnzstrqnzx
300195,faith.sxndzrs@mxfoo.com,,,,,,,faith,sxndzrs
300196,margaret.fqstfxk@mxfoo.com,,,,,,,margaret,fqstfxk
300197,jill.lxzzr@mxfoo.com,,,,,,,jill,lxzzr
300198,Chloe.Fqstzr@mxfoo.com,,,,,,,Chloe,Fqstzr
300199,marcy.rqdgzrs@mxfoo.com,,,,,,,marcy,rqdgzrs
